Age,Pclass,Fare,Fare-Binning,Age-Binning,female,male,Familia,Soltero,Miss.,Mr.,Mrs.,Other,Survived
22.0,3.0,7.25,2.0,1.0,0,1,1,0,0,1,0,0,0.0
38.0,1.0,71.2833,2.0,0.0,1,0,0,1,0,0,1,0,1.0
26.0,3.0,7.925,2.0,1.0,1,0,0,1,1,0,0,0,1.0
35.0,1.0,53.1,2.0,0.0,1,0,1,0,0,0,1,0,1.0
35.0,3.0,8.05,2.0,0.0,0,1,1,0,0,1,0,0,0.0
29.333333333333332,3.0,8.4583,2.0,0.0,0,1,1,0,0,1,0,0,0.0
54.0,1.0,51.8625,2.0,2.0,0,1,0,1,0,1,0,0,0.0
2.0,3.0,21.075,2.0,1.0,0,1,1,0,0,0,0,1,0.0
27.0,3.0,11.1333,2.0,0.0,1,0,1,0,0,0,1,0,1.0
14.0,2.0,30.0708,2.0,1.0,1,0,1,0,0,0,1,0,1.0
4.0,3.0,16.7,2.0,1.0,1,0,1,0,1,0,0,0,1.0
58.0,1.0,26.55,2.0,2.0,1,0,0,1,1,0,0,0,1.0
20.0,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
39.0,3.0,31.275,2.0,0.0,0,1,1,0,0,1,0,0,0.0
14.0,3.0,7.8542,2.0,1.0,1,0,0,1,1,0,0,0,0.0
55.0,2.0,16.0,2.0,2.0,1,0,0,1,0,0,1,0,1.0
2.0,3.0,29.125,2.0,1.0,0,1,1,0,0,0,0,1,0.0
40.0,2.0,13.0,2.0,0.0,0,1,1,0,0,1,0,0,1.0
31.0,3.0,18.0,2.0,0.0,1,0,1,0,0,0,0,1,0.0
21.0,3.0,7.225,2.0,1.0,1,0,0,1,0,0,1,0,1.0
35.0,2.0,26.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
34.0,2.0,13.0,2.0,0.0,0,1,0,1,0,1,0,0,1.0
15.0,3.0,8.0292,2.0,1.0,1,0,0,1,1,0,0,0,1.0
28.0,1.0,35.5,2.0,0.0,0,1,0,1,0,1,0,0,1.0
8.0,3.0,21.075,2.0,1.0,1,0,1,0,1,0,0,0,0.0
38.0,3.0,31.3875,2.0,0.0,1,0,1,0,0,0,1,0,1.0
38.333333333333336,3.0,7.225,2.0,0.0,0,1,0,1,0,1,0,0,0.0
19.0,1.0,263.0,0.0,1.0,0,1,1,0,0,1,0,0,0.0
38.333333333333336,3.0,7.8792,2.0,0.0,1,0,0,1,1,0,0,0,1.0
34.0,3.0,7.8958,2.0,0.0,0,1,0,1,0,1,0,0,0.0
40.0,1.0,27.7208,2.0,0.0,0,1,0,1,0,0,0,1,0.0
40.666666666666664,1.0,146.5208,1.0,0.0,1,0,0,1,0,0,1,0,1.0
33.666666666666664,3.0,7.75,2.0,0.0,1,0,0,1,1,0,0,0,1.0
66.0,2.0,10.5,2.0,2.0,0,1,0,1,0,1,0,0,0.0
28.0,1.0,82.1708,2.0,0.0,0,1,1,0,0,1,0,0,0.0
42.0,1.0,52.0,2.0,0.0,0,1,1,0,0,1,0,0,0.0
42.333333333333336,3.0,7.2292,2.0,0.0,0,1,0,1,0,1,0,0,1.0
21.0,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
18.0,3.0,18.0,2.0,1.0,1,0,1,0,0,0,0,1,0.0
14.0,3.0,11.2417,2.0,1.0,1,0,1,0,1,0,0,0,1.0
40.0,3.0,9.475,2.0,0.0,1,0,0,1,0,0,1,0,0.0
27.0,2.0,21.0,2.0,0.0,1,0,1,0,0,0,1,0,0.0
24.333333333333332,3.0,7.8958,2.0,1.0,0,1,0,1,0,1,0,0,0.0
3.0,2.0,41.5792,2.0,1.0,1,0,1,0,1,0,0,0,1.0
19.0,3.0,7.8792,2.0,1.0,1,0,0,1,1,0,0,0,1.0
26.666666666666668,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
21.333333333333332,3.0,15.5,2.0,1.0,0,1,0,1,0,1,0,0,0.0
26.666666666666668,3.0,7.75,2.0,1.0,1,0,0,1,1,0,0,0,1.0
24.666666666666668,3.0,21.6792,2.0,1.0,0,1,0,1,0,1,0,0,0.0
18.0,3.0,17.8,2.0,1.0,1,0,1,0,0,0,1,0,0.0
7.0,3.0,39.6875,2.0,1.0,0,1,1,0,0,0,0,1,0.0
21.0,3.0,7.8,2.0,1.0,0,1,0,1,0,1,0,0,0.0
49.0,1.0,76.7292,2.0,0.0,1,0,1,0,0,0,1,0,1.0
29.0,2.0,26.0,2.0,0.0,1,0,0,1,0,0,1,0,1.0
65.0,1.0,61.9792,2.0,2.0,0,1,0,1,0,1,0,0,0.0
13.666666666666666,1.0,35.5,2.0,1.0,0,1,0,1,0,1,0,0,1.0
21.0,2.0,10.5,2.0,1.0,1,0,0,1,1,0,0,0,1.0
28.5,3.0,7.2292,2.0,0.0,0,1,0,1,0,1,0,0,0.0
5.0,2.0,27.75,2.0,1.0,1,0,1,0,1,0,0,0,1.0
11.0,3.0,46.9,2.0,1.0,0,1,1,0,0,0,0,1,0.0
22.0,3.0,7.2292,2.0,1.0,0,1,0,1,0,1,0,0,0.0
38.0,1.0,80.0,2.0,0.0,1,0,0,1,1,0,0,0,1.0
45.0,1.0,83.475,2.0,0.0,0,1,1,0,0,1,0,0,0.0
4.0,3.0,27.9,2.0,1.0,0,1,1,0,0,0,0,1,0.0
12.666666666666666,1.0,27.7208,2.0,1.0,0,1,0,1,0,1,0,0,0.0
26.666666666666668,3.0,15.2458,2.0,1.0,0,1,1,0,0,0,0,1,1.0
29.0,2.0,10.5,2.0,0.0,1,0,0,1,0,0,1,0,1.0
19.0,3.0,8.1583,2.0,1.0,0,1,0,1,0,1,0,0,0.0
17.0,3.0,7.925,2.0,1.0,1,0,1,0,1,0,0,0,1.0
26.0,3.0,8.6625,2.0,1.0,0,1,0,1,0,1,0,0,0.0
32.0,2.0,10.5,2.0,0.0,0,1,0,1,0,1,0,0,0.0
16.0,3.0,46.9,2.0,1.0,1,0,1,0,1,0,0,0,0.0
21.0,2.0,73.5,2.0,1.0,0,1,0,1,0,1,0,0,0.0
26.0,3.0,14.4542,2.0,1.0,0,1,0,1,0,1,0,0,0.0
32.0,3.0,56.4958,2.0,0.0,0,1,0,1,0,1,0,0,1.0
25.0,3.0,7.65,2.0,1.0,0,1,0,1,0,1,0,0,0.0
25.333333333333332,3.0,7.8958,2.0,1.0,0,1,0,1,0,1,0,0,0.0
25.333333333333332,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
0.83,2.0,29.0,2.0,1.0,0,1,1,0,0,0,0,1,1.0
30.0,3.0,12.475,2.0,0.0,1,0,0,1,1,0,0,0,1.0
22.0,3.0,9.0,2.0,1.0,0,1,0,1,0,1,0,0,0.0
29.0,3.0,9.5,2.0,0.0,0,1,0,1,0,1,0,0,1.0
22.666666666666668,3.0,7.7875,2.0,1.0,1,0,0,1,1,0,0,0,1.0
28.0,1.0,47.1,2.0,0.0,0,1,0,1,0,1,0,0,0.0
17.0,2.0,10.5,2.0,1.0,1,0,0,1,1,0,0,0,1.0
33.0,3.0,15.85,2.0,0.0,1,0,1,0,0,0,1,0,1.0
16.0,3.0,34.375,2.0,1.0,0,1,1,0,0,1,0,0,0.0
24.333333333333332,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
23.0,1.0,263.0,0.0,1.0,1,0,1,0,1,0,0,0,1.0
24.0,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
29.0,3.0,8.05,2.0,0.0,0,1,0,1,0,1,0,0,0.0
20.0,3.0,7.8542,2.0,1.0,0,1,0,1,0,1,0,0,0.0
46.0,1.0,61.175,2.0,0.0,0,1,0,1,0,1,0,0,0.0
26.0,3.0,20.575,2.0,1.0,0,1,1,0,0,1,0,0,0.0
59.0,3.0,7.25,2.0,2.0,0,1,0,1,0,1,0,0,0.0
36.0,3.0,8.05,2.0,0.0,0,1,0,1,0,1,0,0,0.0
71.0,1.0,34.6542,2.0,2.0,0,1,0,1,0,1,0,0,0.0
23.0,1.0,63.3583,2.0,1.0,0,1,0,1,0,1,0,0,1.0
34.0,2.0,23.0,2.0,0.0,1,0,1,0,0,0,1,0,1.0
34.0,2.0,26.0,2.0,0.0,0,1,1,0,0,1,0,0,0.0
28.0,3.0,7.8958,2.0,0.0,1,0,0,1,1,0,0,0,0.0
32.666666666666664,3.0,7.8958,2.0,0.0,0,1,1,0,0,1,0,0,0.0
21.0,1.0,77.2875,2.0,1.0,0,1,1,0,0,1,0,0,0.0
33.0,3.0,8.6542,2.0,0.0,0,1,1,0,0,1,0,0,0.0
37.0,3.0,7.925,2.0,0.0,0,1,1,0,0,1,0,0,0.0
28.0,3.0,7.8958,2.0,0.0,0,1,0,1,0,1,0,0,0.0
21.0,3.0,7.65,2.0,1.0,1,0,0,1,1,0,0,0,1.0
29.0,3.0,7.775,2.0,0.0,0,1,0,1,0,1,0,0,1.0
38.0,3.0,7.8958,2.0,0.0,0,1,0,1,0,1,0,0,0.0
25.833333333333332,3.0,24.15,2.0,1.0,1,0,1,0,1,0,0,0,1.0
47.0,1.0,52.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
14.5,3.0,14.4542,2.0,1.0,1,0,1,0,1,0,0,0,0.0
22.0,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
20.0,3.0,9.825,2.0,1.0,1,0,1,0,1,0,0,0,0.0
17.0,3.0,14.4583,2.0,1.0,1,0,1,0,1,0,0,0,0.0
21.0,3.0,7.925,2.0,1.0,0,1,0,1,0,1,0,0,0.0
70.5,3.0,7.75,2.0,2.0,0,1,0,1,0,1,0,0,0.0
29.0,2.0,21.0,2.0,0.0,0,1,1,0,0,1,0,0,0.0
24.0,1.0,247.5208,0.0,1.0,0,1,1,0,0,1,0,0,0.0
2.0,3.0,31.275,2.0,1.0,1,0,1,0,1,0,0,0,0.0
21.0,2.0,73.5,2.0,1.0,0,1,1,0,0,1,0,0,0.0
38.333333333333336,3.0,8.05,2.0,0.0,0,1,0,1,0,1,0,0,0.0
32.5,2.0,30.0708,2.0,0.0,0,1,1,0,0,1,0,0,0.0
32.5,2.0,13.0,2.0,0.0,1,0,1,0,1,0,0,0,1.0
54.0,1.0,77.2875,2.0,2.0,0,1,1,0,0,1,0,0,0.0
12.0,3.0,11.2417,2.0,1.0,0,1,1,0,0,0,0,1,1.0
27.0,3.0,7.75,2.0,0.0,0,1,0,1,0,1,0,0,0.0
24.0,3.0,7.1417,2.0,1.0,0,1,0,1,0,1,0,0,1.0
31.666666666666668,3.0,22.3583,2.0,0.0,1,0,1,0,1,0,0,0,1.0
45.0,3.0,6.975,2.0,0.0,0,1,0,1,0,1,0,0,0.0
33.0,3.0,7.8958,2.0,0.0,0,1,0,1,0,1,0,0,0.0
20.0,3.0,7.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
47.0,3.0,14.5,2.0,0.0,1,0,0,1,0,0,1,0,0.0
29.0,2.0,26.0,2.0,0.0,1,0,0,1,0,0,1,0,1.0
25.0,2.0,13.0,2.0,1.0,0,1,0,1,0,1,0,0,0.0
23.0,2.0,15.0458,2.0,1.0,0,1,0,1,0,1,0,0,0.0
19.0,1.0,26.2833,2.0,1.0,1,0,0,1,1,0,0,0,1.0
37.0,1.0,53.1,2.0,0.0,0,1,1,0,0,1,0,0,0.0
16.0,3.0,9.2167,2.0,1.0,0,1,0,1,0,1,0,0,0.0
24.0,1.0,79.2,2.0,1.0,0,1,0,1,0,1,0,0,0.0
21.666666666666668,3.0,15.2458,2.0,1.0,1,0,1,0,0,0,1,0,0.0
22.0,3.0,7.75,2.0,1.0,1,0,0,1,1,0,0,0,1.0
24.0,3.0,15.85,2.0,1.0,1,0,1,0,0,0,1,0,1.0
19.0,3.0,6.75,2.0,1.0,0,1,0,1,0,1,0,0,0.0
18.0,2.0,11.5,2.0,1.0,0,1,0,1,0,1,0,0,0.0
19.0,2.0,36.75,2.0,1.0,0,1,0,1,0,1,0,0,0.0
27.0,3.0,7.7958,2.0,0.0,0,1,1,0,0,1,0,0,1.0
9.0,3.0,34.375,2.0,1.0,1,0,1,0,1,0,0,0,0.0
36.5,2.0,26.0,2.0,0.0,0,1,1,0,0,1,0,0,0.0
42.0,2.0,13.0,2.0,0.0,0,1,0,1,0,0,0,1,0.0
51.0,2.0,12.525,2.0,0.0,0,1,0,1,0,0,0,1,0.0
22.0,1.0,66.6,2.0,1.0,1,0,1,0,0,0,1,0,1.0
55.5,3.0,8.05,2.0,2.0,0,1,0,1,0,1,0,0,0.0
40.5,3.0,14.5,2.0,0.0,0,1,0,1,0,0,0,1,0.0
33.833333333333336,3.0,7.3125,2.0,0.0,0,1,1,0,0,1,0,0,0.0
51.0,1.0,61.3792,2.0,0.0,0,1,1,0,0,1,0,0,0.0
16.0,3.0,7.7333,2.0,1.0,1,0,0,1,1,0,0,0,1.0
30.0,3.0,8.05,2.0,0.0,0,1,0,1,0,1,0,0,0.0
24.0,3.0,8.6625,2.0,1.0,0,1,0,1,0,1,0,0,0.0
33.666666666666664,3.0,69.55,2.0,0.0,0,1,1,0,0,0,0,1,0.0
44.0,3.0,16.1,2.0,0.0,0,1,0,1,0,1,0,0,0.0
40.0,2.0,15.75,2.0,0.0,1,0,0,1,0,0,1,0,1.0
26.0,3.0,7.775,2.0,1.0,0,1,0,1,0,1,0,0,0.0
17.0,3.0,8.6625,2.0,1.0,0,1,1,0,0,1,0,0,0.0
1.0,3.0,39.6875,2.0,1.0,0,1,1,0,0,0,0,1,0.0
9.0,3.0,20.525,2.0,1.0,0,1,1,0,0,0,0,1,1.0
26.666666666666668,1.0,55.0,2.0,1.0,1,0,0,1,0,0,1,0,1.0
45.0,3.0,27.9,2.0,0.0,1,0,1,0,0,0,1,0,0.0
19.333333333333332,1.0,25.925,2.0,1.0,0,1,0,1,0,1,0,0,0.0
28.0,3.0,56.4958,2.0,0.0,0,1,0,1,0,1,0,0,0.0
61.0,1.0,33.5,2.0,2.0,0,1,0,1,0,0,0,1,0.0
4.0,3.0,29.125,2.0,1.0,0,1,1,0,0,0,0,1,0.0
1.0,3.0,11.1333,2.0,1.0,1,0,1,0,1,0,0,0,1.0
21.0,3.0,7.925,2.0,1.0,0,1,0,1,0,1,0,0,0.0
56.0,1.0,30.6958,2.0,2.0,0,1,1,0,0,1,0,0,0.0
18.0,3.0,7.8542,2.0,1.0,0,1,0,1,0,1,0,0,0.0
36.666666666666664,3.0,25.4667,2.0,0.0,0,1,1,0,0,0,0,1,0.0
50.0,1.0,28.7125,2.0,0.0,1,0,0,1,1,0,0,0,0.0
30.0,2.0,13.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
36.0,3.0,0.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
33.666666666666664,3.0,69.55,2.0,0.0,1,0,1,0,1,0,0,0,0.0
24.666666666666668,2.0,15.05,2.0,1.0,0,1,0,1,0,1,0,0,0.0
9.0,3.0,31.3875,2.0,1.0,0,1,1,0,0,0,0,1,0.0
1.0,2.0,39.0,2.0,1.0,0,1,1,0,0,0,0,1,1.0
4.0,3.0,22.025,2.0,1.0,1,0,0,1,1,0,0,0,1.0
12.666666666666666,1.0,50.0,2.0,1.0,0,1,0,1,0,1,0,0,0.0
30.333333333333332,3.0,15.5,2.0,0.0,1,0,1,0,0,0,1,0,1.0
45.0,1.0,26.55,2.0,0.0,0,1,0,1,0,1,0,0,1.0
40.0,3.0,15.5,2.0,0.0,0,1,1,0,0,1,0,0,0.0
36.0,3.0,7.8958,2.0,0.0,0,1,0,1,0,1,0,0,0.0
32.0,2.0,13.0,2.0,0.0,1,0,0,1,0,0,1,0,1.0
19.0,2.0,13.0,2.0,1.0,0,1,0,1,0,1,0,0,0.0
19.0,3.0,7.8542,2.0,1.0,1,0,0,1,1,0,0,0,1.0
3.0,2.0,26.0,2.0,1.0,0,1,1,0,0,0,0,1,1.0
44.0,1.0,27.7208,2.0,0.0,1,0,1,0,0,0,1,0,1.0
58.0,1.0,146.5208,1.0,2.0,1,0,0,1,1,0,0,0,1.0
29.666666666666668,3.0,7.75,2.0,0.0,0,1,0,1,0,1,0,0,0.0
42.0,3.0,8.4042,2.0,0.0,0,1,1,0,0,1,0,0,0.0
34.666666666666664,3.0,7.75,2.0,0.0,1,0,0,1,1,0,0,0,1.0
24.0,2.0,13.0,2.0,1.0,1,0,0,1,1,0,0,0,0.0
28.0,3.0,9.5,2.0,0.0,0,1,0,1,0,0,0,1,0.0
35.0,3.0,69.55,2.0,0.0,0,1,1,0,0,1,0,0,0.0
34.0,3.0,6.4958,2.0,0.0,0,1,0,1,0,1,0,0,0.0
45.5,3.0,7.225,2.0,0.0,0,1,0,1,0,1,0,0,0.0
18.0,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,1.0
2.0,3.0,10.4625,2.0,1.0,1,0,1,0,1,0,0,0,0.0
32.0,3.0,15.85,2.0,0.0,0,1,1,0,0,1,0,0,0.0
26.0,3.0,18.7875,2.0,1.0,0,1,0,1,0,1,0,0,1.0
16.0,3.0,7.75,2.0,1.0,1,0,0,1,1,0,0,0,1.0
40.0,1.0,31.0,2.0,0.0,0,1,0,1,0,1,0,0,1.0
24.0,3.0,7.05,2.0,1.0,0,1,1,0,0,1,0,0,0.0
35.0,2.0,21.0,2.0,0.0,1,0,0,1,1,0,0,0,1.0
22.0,3.0,7.25,2.0,1.0,0,1,0,1,0,1,0,0,0.0
30.0,2.0,13.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
24.333333333333332,3.0,7.75,2.0,1.0,0,1,0,1,0,1,0,0,0.0
31.0,1.0,113.275,1.0,0.0,1,0,1,0,1,0,0,0,1.0
27.0,3.0,7.925,2.0,0.0,1,0,0,1,1,0,0,0,1.0
42.0,2.0,27.0,2.0,0.0,0,1,1,0,0,1,0,0,0.0
32.0,1.0,76.2917,2.0,0.0,1,0,0,1,1,0,0,0,1.0
30.0,2.0,10.5,2.0,0.0,0,1,1,0,0,1,0,0,0.0
16.0,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,1.0
27.0,2.0,13.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
51.0,3.0,8.05,2.0,0.0,0,1,0,1,0,1,0,0,0.0
29.666666666666668,3.0,7.8958,2.0,0.0,0,1,0,1,0,1,0,0,0.0
38.0,1.0,90.0,1.0,0.0,0,1,1,0,0,1,0,0,1.0
22.0,3.0,9.35,2.0,1.0,0,1,0,1,0,1,0,0,0.0
19.0,2.0,10.5,2.0,1.0,0,1,0,1,0,1,0,0,1.0
20.5,3.0,7.25,2.0,1.0,0,1,0,1,0,1,0,0,0.0
18.0,2.0,13.0,2.0,1.0,0,1,0,1,0,1,0,0,0.0
19.0,3.0,25.4667,2.0,1.0,1,0,1,0,1,0,0,0,0.0
35.0,1.0,83.475,2.0,0.0,1,0,1,0,0,0,1,0,1.0
29.0,3.0,7.775,2.0,0.0,0,1,1,0,0,1,0,0,0.0
59.0,2.0,13.5,2.0,2.0,0,1,0,1,0,1,0,0,0.0
5.0,3.0,31.3875,2.0,1.0,1,0,1,0,1,0,0,0,1.0
24.0,2.0,10.5,2.0,1.0,0,1,0,1,0,1,0,0,0.0
24.0,3.0,7.55,2.0,1.0,1,0,0,1,1,0,0,0,0.0
44.0,2.0,26.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
8.0,2.0,26.25,2.0,1.0,1,0,1,0,1,0,0,0,1.0
19.0,2.0,10.5,2.0,1.0,0,1,0,1,0,1,0,0,0.0
33.0,2.0,12.275,2.0,0.0,0,1,0,1,0,1,0,0,0.0
27.0,3.0,14.4542,2.0,0.0,1,0,1,0,1,0,0,0,0.0
27.0,3.0,15.5,2.0,0.0,1,0,1,0,1,0,0,0,1.0
29.0,2.0,10.5,2.0,0.0,0,1,0,1,0,1,0,0,0.0
22.0,3.0,7.125,2.0,1.0,0,1,0,1,0,1,0,0,0.0
30.0,3.0,7.225,2.0,0.0,0,1,1,0,0,1,0,0,0.0
44.0,1.0,90.0,1.0,0.0,0,1,1,0,0,0,0,1,0.0
25.0,3.0,7.775,2.0,1.0,1,0,0,1,1,0,0,0,0.0
24.0,2.0,14.5,2.0,1.0,1,0,1,0,0,0,1,0,1.0
37.0,1.0,52.5542,2.0,0.0,0,1,1,0,0,1,0,0,1.0
54.0,2.0,26.0,2.0,2.0,0,1,1,0,0,0,0,1,0.0
28.0,3.0,7.25,2.0,0.0,0,1,0,1,0,1,0,0,0.0
29.0,3.0,10.4625,2.0,0.0,1,0,1,0,0,0,1,0,0.0
62.0,1.0,26.55,2.0,2.0,0,1,0,1,0,1,0,0,0.0
30.0,3.0,16.1,2.0,0.0,0,1,1,0,0,1,0,0,0.0
41.0,3.0,20.2125,2.0,0.0,1,0,1,0,0,0,1,0,0.0
29.0,3.0,15.2458,2.0,0.0,1,0,0,1,0,0,1,0,1.0
42.0,1.0,79.2,2.0,0.0,1,0,0,1,0,0,1,0,1.0
30.0,1.0,86.5,2.0,0.0,1,0,0,1,1,0,0,0,1.0
50.0,2.0,26.0,2.0,0.0,1,0,0,1,0,0,1,0,1.0
33.666666666666664,3.0,7.75,2.0,0.0,0,1,1,0,0,1,0,0,0.0
3.0,3.0,31.3875,2.0,1.0,0,1,1,0,0,0,0,1,1.0
52.0,1.0,79.65,2.0,0.0,0,1,1,0,0,1,0,0,0.0
40.0,1.0,0.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
33.666666666666664,3.0,7.75,2.0,0.0,1,0,0,1,1,0,0,0,0.0
36.0,2.0,10.5,2.0,0.0,0,1,0,1,0,1,0,0,0.0
16.0,3.0,39.6875,2.0,1.0,0,1,1,0,0,1,0,0,0.0
25.0,3.0,7.775,2.0,1.0,0,1,0,1,0,1,0,0,1.0
58.0,1.0,153.4625,1.0,2.0,1,0,1,0,0,0,1,0,1.0
35.0,1.0,135.6333,1.0,0.0,1,0,0,1,1,0,0,0,1.0
15.666666666666666,1.0,31.0,2.0,1.0,0,1,0,1,0,1,0,0,0.0
25.0,3.0,0.0,2.0,1.0,0,1,0,1,0,1,0,0,1.0
41.0,2.0,19.5,2.0,0.0,1,0,1,0,0,0,1,0,1.0
37.0,1.0,29.7,2.0,0.0,0,1,0,1,0,1,0,0,0.0
45.0,3.0,7.75,2.0,0.0,1,0,0,1,1,0,0,0,1.0
63.0,1.0,77.9583,2.0,2.0,1,0,1,0,1,0,0,0,1.0
45.0,3.0,7.75,2.0,0.0,1,0,0,1,1,0,0,0,0.0
45.0,2.0,0.0,2.0,0.0,0,1,0,1,0,1,0,0,0.0
7.0,3.0,29.125,2.0,1.0,0,1,1,0,0,0,0,1,0.0
35.0,3.0,20.25,2.0,0.0,1,0,1,0,0,0,1,0,1.0
65.0,3.0,7.75,2.0,2.0,0,1,0,1,0,1,0,0,0.0
28.0,3.0,7.8542,2.0,0.0,0,1,1,0,0,1,0,0,0.0
16.0,3.0,9.5,2.0,1.0,0,1,0,1,0,0,0,1,0.0
19.0,3.0,8.05,2.0,1.0,0,1,0,1,0,1,0,0,1.0
26.333333333333332,1.0,26.0,2.0,1.0,0,1,1,0,0,1,0,0,0.0
33.0,3.0,8.6625,2.0,0.0,0,1,0,1,0,1,0,0,0.0
30.0,3.0,9.5,2.0,0.0,0,1,0,1,0,0,0,1,1.0
22.0,3.0,7.8958,2.0,1.0,0,1,0,1,0,1,0,0,0.0
42.0,2.0,13.0,2.0,0.0,0,1,0,1,0,1,0,0,1.0
22.0,3.0,7.75,2.0,1.0,1,0,0,1,1,0,0,0,1.0
26.0,1.0,78.85,2.0,1.0,1,0,0,1,1,0,0,0,1.0
19.0,1.0,91.0792,1.0,1.0,1,0,1,0,0,0,1,0,1.0
36.0,2.0,12.875,2.0,0.0,0,1,0,1,0,1,0,0,0.0
24.0,3.0,8.85,2.0,1.0,1,0,0,1,1,0,0,0,0.0
24.0,3.0,7.8958,2.0,1.0,0,1,0,1,0,1,0,0,0.0
